ITEM       MONTH       YEAR   COST    BUYER     SELLER
Pen        June        1999   20      Ram       Uchiha
Pencil     July        2000   5       Ravi      Senju
Book       August      2001   50      Manoj     Hashirama
Paper      September   2002   10      Kumar     Madara
Cap        October     2003   500     Joe       Kurama
Table      November    2004   10000   John      Tails
Mouse      December    2005   1000    Killer    Pavan
Keyboard   January     2006   2500    Miller    Tanjiro
Stand      February    2007   750     Dice      Muzan
Tripod     March       2008   150     Noice     Pallipothu
Moniter    April       2009   12000   Naruto    Fandom
Computer   May         2010   90000   Hinata    Kingdom
CPU        June        2011   50000   Momoshiki Ruler
Wire       July        2012   250     Sasuke    Soldier
HDMI       August      2013   350     Sarada    Army
HDD        September   2014   799     Sakura    Boruto
SSD        October     2015   9999    Bruh      Kissik
RAM        November    2016   8888    Rider     Pushpa
Shoes      December    2017   2500    Blender   Salaa
Door       January     2018   15000   Spike     Bhahubali
